V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
2797,2461,2835,1050,2329,705,559,2479,1007,1397,791,2335,972,2007,1027,1331,2068,1883,781,2082,1504,1463,1856,1229,1525,826,718,1229,1,1
2760,2511,2663,1055,2309,672,510,2492,1099,918,1362,1480,1562,1589,1146,912,1651,1814,1670,2116,1543,1581,1824,1013,1798,1155,761,1247,0,0
2926,2369,2828,940,2279,717,527,2479,1208,1496,571,2435,1016,2082,752,1023,2064,2161,1198,2070,1480,1433,1859,1420,1706,856,721,1219,2,1
1759,2921,1578,1681,2036,588,232,3068,538,524,1894,1241,1071,1103,997,495,503,746,1790,2158,1628,1298,1823,1177,1827,903,828,1260,0,0
2926,2420,2734,985,2318,722,542,2481,1247,1385,640,2286,833,2027,1334,1305,2079,2084,1197,2086,1506,1510,1848,762,1735,927,719,1220,0,1
2964,2389,2651,867,2318,707,547,2465,1362,1340,673,2519,1442,1928,949,1250,2108,1971,1460,2098,1496,1434,1862,1293,1610,968,714,1217,13,1
2739,2317,2572,880,2310,714,619,2413,1242,1432,478,2324,998,2217,1046,1149,1961,1949,1715,2031,1510,1844,1851,898,1432,849,767,1246,84,1
2863,2451,2785,1224,2337,713,571,2459,960,1551,483,2265,880,2153,660,1284,1914,1884,904,2084,1526,1675,1839,1125,1700,1167,695,1190,1,1
2916,2436,2748,1206,2314,717,540,2491,1092,1425,1123,2270,414,1956,1114,1386,2175,2243,959,2083,1508,1497,1856,1111,1675,1079,717,1221,0,1
2967,2440,2647,1360,2342,752,546,2484,1030,1496,821,2431,1264,1868,541,1395,2089,2239,1078,2088,1511,1568,1853,980,1678,1142,715,1216,1,1
1231,3101,1178,1728,1922,572,153,3334,594,617,1606,1545,1338,1464,970,655,723,805,1637,2163,1632,1171,1797,1196,1957,910,806,1252,0,0
2665,2245,2828,1140,2336,695,548,2475,1179,1355,687,2329,1255,1949,1445,1309,2068,2376,1487,2173,1553,1603,1928,1016,1661,955,697,1219,62,1
2968,2426,2749,1382,2314,725,541,2470,1312,1550,685,2022,1515,2312,666,1334,1990,1932,926,2079,1498,1491,1869,1047,1584,963,712,1213,0,1
2868,2397,2723,1222,2336,712,544,2468,975,1615,555,2301,1145,2168,1046,1195,2054,1848,1917,2102,1532,1707,1874,1474,1383,2569,699,1230,1,1
