V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
2144,1887,2174,805,1785,541,428,1900,772,1071,606,1790,745,1539,788,1021,1585,1444,599,1596,1153,1122,1423,942,1170,633,550,942,1,1
2116,1925,2042,809,1770,516,391,1911,843,704,1045,1135,1198,1218,879,699,1266,1391,1280,1622,1183,1212,1399,776,1378,885,583,956,0,0
2243,1816,2168,721,1747,550,404,1900,926,1147,438,1867,779,1596,577,784,1582,1656,919,1587,1135,1099,1425,1088,1308,656,553,935,2,1
1348,2239,1210,1289,1561,451,178,2352,412,401,1452,951,821,845,765,380,385,572,1372,1654,1248,995,1397,902,1400,692,634,966,0,0
2244,1855,2096,755,1777,554,416,1902,956,1061,491,1753,638,1554,1022,1001,1594,1598,918,1599,1155,1158,1417,584,1330,711,551,935,0,1
2272,1832,2033,665,1777,542,420,1890,1044,1027,516,1931,1105,1478,727,959,1616,1511,1119,1609,1147,1099,1428,991,1235,742,547,933,10,1
2100,1776,1972,675,1771,548,474,1850,952,1098,366,1782,765,1699,802,881,1503,1494,1315,1557,1158,1414,1419,689,1098,651,588,955,65,1
2239,1877,2057,843,1779,531,418,1902,944,958,899,1787,457,1258,691,1062,1835,1926,981,1601,1139,1048,1418,836,1328,643,552,940,0,1
2195,1879,2135,939,1791,546,437,1886,736,1189,370,1737,674,1651,506,985,1467,1444,693,1598,1170,1284,1410,862,1303,895,533,913,1,1
2236,1868,2107,925,1774,550,414,1910,837,1092,861,1741,317,1499,854,1063,1667,1720,735,1597,1156,1148,1423,851,1284,827,549,936,0,1
2275,1871,2030,1043,1795,577,419,1904,790,1147,629,1864,969,1432,415,1069,1602,1717,827,1601,1158,1202,1420,752,1286,875,548,932,1,1
944,2377,903,1325,1474,438,117,2556,456,473,1231,1184,1026,1123,744,503,554,617,1255,1658,1251,898,1378,917,1500,698,618,960,0,0
2044,1721,2168,874,1791,533,420,1898,904,1039,527,1785,962,1494,1108,1004,1585,1822,1140,1666,1191,1229,1478,779,1273,732,534,935,47,1
2276,1860,2107,1060,1774,556,415,1894,1006,1188,525,1550,1161,1773,511,1023,1525,1481,710,1594,1149,1143,1433,803,1214,739,546,930,0,1
