V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
3729,3281,3780,1400,3105,941,745,3305,1343,1862,1054,3113,1296,2677,1370,1775,2757,2511,1042,2776,2005,1951,2474,1639,2034,1101,957,1639,1,1
3679,3349,3551,1407,3079,897,680,3323,1466,1224,1817,1974,2083,2119,1528,1216,2202,2419,2227,2821,2057,2108,2432,1350,2397,1540,1015,1662,0,0
3901,3385,3359,1985,3175,915,768,3273,1342,1589,1540,2367,1957,1948,1222,2005,3639,3594,840,2790,1979,1866,2433,628,2512,1803,953,1638,0,1
3901,3158,3770,1254,3039,956,702,3305,1611,1995,762,3247,1355,2776,1003,1364,2752,2881,1598,2760,1973,1911,2479,1893,2275,1141,961,1626,3,1
2345,3895,2104,2241,2715,784,309,4090,717,698,2525,1655,1428,1470,1330,660,670,995,2387,2877,2171,1730,2430,1569,2436,1204,1103,1680,0,0
3902,3226,3646,1314,3090,963,723,3307,1663,1846,854,3048,1110,2702,1778,1740,2772,2779,1597,2781,2008,2014,2465,1016,2313,1237,958,1626,0,1
3952,3185,3535,1156,3090,943,730,3287,1816,1787,898,3358,1922,2570,1265,1667,2811,2627,1947,2797,1995,1912,2483,1724,2147,1291,952,1623,17,1
3652,3089,3429,1173,3079,952,825,3217,1655,1910,637,3098,1331,2956,1395,1533,2614,2598,2287,2709,2014,2458,2467,1198,1909,1132,1023,1661,112,1
3893,3265,3578,1467,3094,923,728,3307,1642,1666,1563,3108,795,2188,1202,1847,3191,3349,1706,2785,1980,1822,2467,1455,2310,1119,961,1634,0,1
3817,3268,3713,1632,3115,950,761,3279,1280,2068,644,3020,1173,2871,881,1712,2552,2512,1205,2779,2034,2234,2453,1499,2267,1556,927,1587,1,1
3888,3248,3664,1608,3086,956,721,3321,1456,1900,1498,3027,552,2608,1485,1849,2899,2991,1279,2777,2011,1996,2475,1481,2234,1439,955,1628,0,1
3956,3254,3530,1814,3123,1003,728,3312,1373,1994,1094,3242,1685,2491,722,1860,2785,2986,1437,2784,2014,2091,2470,1307,2237,1522,953,1621,1,1
1641,4134,1570,2304,2563,762,204,4445,792,823,2141,2060,1784,1952,1294,874,963,1074,2183,2884,2176,1562,2396,1595,2609,1214,1075,1670,0,0
3554,2993,3770,1519,3114,927,731,3301,1572,1807,917,3105,1673,2599,1927,1746,2757,3168,1982,2897,2071,2137,2571,1354,2214,1273,929,1626,82,1
3958,3234,3665,1843,3086,967,721,3294,1750,2067,913,2696,2020,3083,888,1779,2653,2576,1235,2772,1997,1988,2493,1396,2111,1285,949,1617,0,1
3824,3196,3631,1629,3115,949,726,3290,1300,2153,740,3068,1527,2891,1395,1593,2738,2464,2555,2802,2042,2276,2498,1966,1844,3425,932,1640,1,1
3741,3221,3647,993,3095,1000,688,3139,1165,1944,1160,3041,1267,2811,1592,1769,2875,2555,2826,2834,1924,2307,2467,761,2146,1544,948,1639,5,1
3749,3188,3784,1350,3070,1013,757,3296,1535,1909,791,3085,1501,2852,1989,1584,2662,2755,2317,2834,2043,2214,2502,1091,2128,1356,948,1615,45,1
3633,3360,3630,1216,3089,1028,676,2894,2026,1801,624,3135,1076,2303,875,1727,3008,3157,1595,2717,2559,1730,2509,943,2197,1143,955,1617,1,1
3571,3249,3779,1628,3086,983,770,3146,1650,2361,1187,3074,1349,2714,1807,1517,2674,2305,2059,2738,2061,2113,2489,1852,2015,1322,710,1655,16,1
3723,3089,3673,1304,3011,1006,797,3285,1848,1655,1059,3107,1003,2559,1671,1474,3029,2861,2409,2881,2052,2161,2588,1624,2199,1216,924,1605,121,1
3314,2944,3687,1410,3170,875,670,3127,1836,1914,981,3049,746,2727,1742,1817,2748,2593,1407,2578,2110,1798,2430,1589,2095,1030,1125,1611,49,1
3772,3265,3460,1029,3087,947,831,3244,1459,1616,900,3071,1495,2498,1322,1675,2923,2960,1726,2788,2022,2168,2450,1036,2493,1279,953,1603,75,1
3566,3350,3422,1848,3026,883,598,3358,950,1260,1921,1835,1451,1787,1693,596,897,1091,3013,2833,2113,2174,2458,1679,2104,1297,1055,1736,2,0
3762,3260,3736,1256,3100,967,735,3315,1459,1846,1386,3177,1139,2728,1600,1683,2796,2914,1978,2788,2019,2079,2466,1275,2204,1219,947,1623,0,1
3559,3193,3733,1148,3096,906,735,3290,1779,2058,1020,3204,1581,2712,1670,1721,2649,2517,1902,2751,1936,1913,2566,1706,2256,1525,1071,1621,0,1
3953,3277,3509,1890,3114,936,741,3294,1292,1956,1379,3145,1156,2441,809,1870,2948,2994,1293,2778,1999,1948,2481,1382,2187,1379,951,1623,1,1
3794,2944,3487,1114,3040,938,763,3274,1980,1767,1196,3372,946,2996,1208,1529,2663,2775,2153,2886,2075,1990,2415,1574,2128,543,937,1635,171,1
3889,3254,3666,1606,3089,958,723,3316,1414,1895,1550,3146,999,2571,1444,1841,2889,2942,1275,2781,2012,2020,2474,1499,2244,1436,956,1629,0,1
3767,3120,3527,1614,3097,964,765,3297,1452,1903,1276,3144,993,2786,1399,1530,2912,3035,2721,2855,2055,2161,2564,1793,1996,1154,952,1636,70,1
3954,3261,3559,1879,3105,971,720,3309,1471,1927,918,3028,1450,2329,1274,1936,2920,3121,987,2782,2031,2208,2475,1695,2181,1589,957,1626,1,1
3889,3220,3753,1564,3077,994,718,3319,1480,2008,1297,3418,1553,2856,964,1667,2639,2385,1626,2781,1999,1961,2481,1520,2238,1302,956,1623,0,1
3674,3339,3412,1362,3091,905,680,3358,1034,1323,1891,2577,1336,2028,1169,1219,2163,2301,2507,2818,2071,2121,2449,1795,2207,2013,1006,1656,0,0
3743,3232,3775,1032,3062,945,741,3309,1603,1782,1391,3120,855,2690,1411,1842,2703,3034,1534,2780,2024,2091,2472,1737,2092,1645,948,1623,20,1
3637,3288,3687,1239,3104,945,695,3101,1633,1905,1025,3002,707,2717,1851,1642,2962,2712,2022,2737,2262,1752,2468,1467,2064,1771,1014,1638,0,1
3711,3090,3756,1245,3044,998,761,3306,1603,1901,1310,3052,658,2936,1749,1657,2653,2877,2056,2853,2066,2232,2557,1498,2071,1902,921,1603,81,1
3682,3124,3682,1286,3378,747,467,3276,2087,2163,1359,2931,1168,3360,1035,1435,2874,2150,1247,2715,2115,1734,1398,1034,1273,940,1019,1667,0,1
3870,3201,3446,1230,2992,922,594,3363,1228,1492,1944,2244,1222,2041,1167,1175,1409,1329,2519,2819,2111,2312,2483,1506,2136,1351,1033,1655,3,0
3792,3259,3838,1679,3057,1035,675,3162,1351,1958,1340,3363,1380,2927,1440,1664,2715,2695,1960,2827,1922,2318,2470,1652,2317,1740,966,1646,0,1
3711,3177,3859,1303,3089,1023,706,3265,1865,1966,1224,3231,749,2780,1149,1487,2752,2558,2029,2764,2089,2254,2454,1374,1997,1247,956,1584,7,1
3660,3110,3711,1093,3076,974,741,3285,1486,1991,683,3153,1454,2786,1120,1432,2663,2778,1284,2715,1954,1883,2449,1296,2145,1013,957,1629,50,1
3801,3343,3489,1295,3166,898,779,3251,1839,1463,1529,2479,1798,1965,977,1883,3473,3512,1023,2789,1963,1819,2450,1506,2291,835,910,1584,0,1
3739,3190,3674,833,3026,1002,805,3274,1774,1681,858,3195,1243,2882,1590,1497,2705,2499,2136,2788,2016,2128,2483,1382,2284,979,968,1610,85,1
917,1175,0,4000,0,4000,4000,1531,752,293,2719,1543,4000,1842,4000,4000,1640,1972,3966,0,112,3392,2371,4000,3269,3924,4000,0,4000,0
3898,3157,3744,1080,3061,1005,699,3323,1900,1871,958,3443,1743,2728,856,1673,2613,2698,2341,2793,2008,2083,2460,1145,2271,2309,951,1621,5,1
