V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
93222,82032,94503,34995,77618,23516,18625,82624,33581,46556,26359,77820,32411,66914,34241,44375,68924,62776,26043,69399,50134,48781,61856,40970,50850,27531,23923,40967,30,1
91983,83713,88775,35170,76963,22414,16990,83068,36648,30593,45414,49346,52079,52972,38209,30394,55047,60480,55663,70530,51422,52698,60806,33760,59923,38498,25367,41560,4,0
97524,84614,83966,49630,79387,22871,19208,81819,33540,39728,38512,59165,48934,48704,30538,50128,90970,89859,21007,69754,49485,46658,60832,15699,62811,45083,23816,40938,4,1
97521,78959,94251,31339,75966,23905,17555,82629,40270,49867,19039,81172,33870,69398,25075,34091,68791,72017,39942,69005,49332,47767,61963,47318,56881,28528,24034,40645,76,1
58618,97364,52612,56028,67879,19591,7721,102250,17920,17456,63121,41369,35711,36757,33244,16502,16753,24868,59673,71935,54269,43262,60751,39220,60890,30090,27585,41992,4,0
97544,80660,91149,32841,77260,24070,18076,82685,41571,46151,21340,76208,27757,67558,44450,43501,69298,69479,39915,69523,50205,50343,61616,25398,57835,30914,23950,40657,4,1
98798,79633,88381,28902,77255,23577,18246,82166,45407,44671,22439,83953,48052,64252,31626,41683,70278,65687,48665,69936,49870,47803,62073,43102,53678,32281,23793,40568,422,1
91296,77220,85727,29334,76986,23812,20620,80433,41384,47739,15921,77460,33274,73888,34865,38316,65358,64956,57170,67713,50342,61460,61686,29944,47733,28310,25564,41526,2806,1
97334,81626,89450,36667,77357,23083,18193,82684,41038,41653,39072,77696,19882,54705,30058,46165,79763,83728,42650,69615,49511,45544,61670,36368,57751,27974,24013,40851,4,1
95432,81693,92837,40812,77887,23753,19021,81982,31990,51692,16095,75512,29326,71770,22014,42805,63788,62791,30123,69479,50852,55842,61316,37484,56663,38899,23166,39680,30,1
97211,81212,91597,40208,77139,23912,18014,83024,36407,47491,37440,75682,13801,65189,37121,46214,72487,74774,31963,69420,50267,49900,61876,37019,55839,35966,23885,40711,0,1
98911,81338,88249,45347,78064,25069,18201,82799,34332,49862,27356,81048,42123,62270,18039,46489,69636,74647,35936,69594,50352,52269,61753,32677,55917,38053,23826,40520,36,1
41037,103351,39252,57612,64066,19054,5101,111126,19804,20573,53534,51499,44595,48805,32341,21849,24085,26840,54564,72097,54393,39043,59897,39874,65218,30345,26869,41739,4,0
88849,74827,94253,37984,77855,23174,18264,82514,39300,45183,22913,77628,41829,64972,48172,43646,68917,79199,49560,72433,51773,53430,64266,33853,55355,31827,23231,40646,2059,1
98945,80860,91629,46080,77149,24171,18028,82344,43738,51663,22833,67402,50492,77072,22202,44465,66325,64394,30867,69302,49937,49708,62313,34900,52786,32114,23719,40418,4,1
95610,79907,90764,40732,77879,23721,18140,82262,32510,53834,18493,76704,38183,72265,34867,39820,68462,61612,63885,70060,51060,56893,62454,49144,46092,85629,23309,40994,28,1
93532,80519,91164,24834,77370,25011,17204,78486,29129,48591,29002,76032,31687,70264,39793,44226,71881,63864,70641,70849,48109,57678,61684,19034,53658,38612,23699,40967,117,1
93725,79694,94590,33755,76759,25317,18928,82404,38386,47716,19773,77130,37522,71306,49722,39604,66557,68868,57932,70845,51067,55360,62539,27276,53193,33912,23690,40387,1129,1
90835,83996,90749,30391,77218,25712,16889,72352,50656,45018,15599,78367,26908,57568,21887,43172,75193,78923,39874,67920,63982,43255,62719,23577,54919,28580,23877,40420,31,1
89280,81232,94465,40712,77153,24573,19245,78648,41239,59026,29670,76846,33719,67858,45178,37921,66842,57624,51474,68441,51520,52833,62232,46292,50379,33059,17739,41370,408,1
93065,77225,91818,32598,75273,25154,19936,82131,46193,41363,26474,77684,25069,63983,41782,36849,75736,71531,60228,72026,51302,54029,64702,40601,54978,30403,23096,40120,3024,1
82847,73601,92163,35249,79245,21867,16751,78170,45895,47859,24534,76229,18640,68163,43549,45413,68691,64821,35168,64460,52740,44945,60762,39734,52364,25740,28117,40278,1214,1
94288,81625,86509,25730,77187,23680,20783,81108,36469,40404,22492,76785,37363,62449,33043,41884,73082,74001,43153,69710,50562,54193,61252,25904,62314,31976,23837,40072,1871,1
89161,83762,85554,46190,75643,22077,14961,83950,23759,31500,48024,45868,36272,44668,42317,14891,22423,27279,75325,70837,52826,54354,61448,41970,52595,32429,26368,43393,47,0
94045,81508,93411,31394,77490,24180,18386,82885,36487,46159,34661,79416,28470,68206,40004,42070,69905,72856,49459,69688,50474,51986,61647,31886,55105,30479,23664,40579,4,1
88965,79828,93332,28691,77399,22640,18386,82245,44466,51450,25511,80089,39523,67792,41746,43024,66215,62925,47557,68765,48395,47813,64161,42651,56395,38134,26766,40515,7,1
98830,81930,87726,47249,77852,23392,18530,82356,32290,48905,34481,78629,28903,61021,20235,46762,73693,74862,32329,69453,49984,48699,62015,34550,54684,34485,23775,40566,27,1
94853,73593,87185,27857,75988,23438,19064,81860,49493,44180,29909,84294,23652,74898,30212,38225,66575,69373,53823,72147,51863,49759,60386,39351,53188,13577,23428,40884,4270,1
97213,81355,91646,40150,77214,23942,18071,82910,35338,47367,38752,78648,24985,64274,36096,46017,72232,73542,31884,69522,50299,50504,61851,37479,56098,35889,23905,40718,0,1
94170,77998,88185,40357,77433,24101,19131,82433,36305,47571,31888,78611,24832,69655,34970,38244,72797,75881,68020,71375,51375,54013,64112,44835,49911,28856,23788,40891,1757,1
98854,81529,88976,46964,77622,24264,17989,82728,36775,48169,22951,75711,36257,58221,31854,48395,72989,78029,24680,69546,50766,55203,61880,42370,54537,39736,23916,40646,13,1
97214,80489,93822,39090,76932,24856,17959,82986,37008,50210,32430,85455,38816,71388,24092,41678,65976,59618,40642,69531,49968,49029,62032,37996,55943,32555,23890,40580,6,1
91850,83472,85307,34042,77269,22613,17007,83948,25849,33086,47287,64416,33403,50695,29215,30466,54074,57526,62684,70448,51776,53022,61214,44876,55181,50330,25155,41404,3,0
93571,80793,94380,25804,76554,23635,18518,82737,40083,44550,34787,78011,21386,67260,35267,46052,67567,75847,38354,69503,50606,52265,61789,43417,52296,41120,23689,40574,502,1
90927,82192,92186,30973,77594,23613,17381,77520,40824,47613,25634,75062,17667,67926,46275,41038,74059,67807,50543,68425,56561,43798,61700,36669,51600,44279,25349,40953,3,1
92787,77243,93895,31118,76091,24950,19028,82662,40064,47516,32752,76311,16457,73393,43737,41434,66335,71928,51399,71317,51661,55809,63935,37442,51774,47546,23030,40085,2024,1
