V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
1864,1641,1890,700,1552,470,372,1652,672,931,527,1556,648,1338,685,888,1378,1256,521,1388,1003,976,1237,819,1017,551,478,819,1,1
1840,1674,1775,703,1539,448,340,1661,733,612,908,987,1042,1059,764,608,1101,1210,1113,1411,1028,1054,1216,675,1198,770,507,831,0,0
1950,1579,1885,627,1519,478,351,1653,805,997,381,1623,677,1388,501,682,1376,1440,799,1380,987,955,1239,946,1138,571,481,813,2,1
1172,1947,1052,1121,1358,392,154,2045,358,349,1262,827,714,735,665,330,335,497,1193,1439,1085,865,1215,784,1218,602,552,840,0,0
1951,1613,1823,657,1545,481,362,1654,831,923,427,1524,555,1351,889,870,1386,1390,798,1390,1004,1007,1232,508,1157,618,479,813,0,1
1976,1593,1768,578,1545,472,365,1643,908,893,449,1679,961,1285,633,834,1406,1314,973,1399,997,956,1241,862,1074,646,476,811,8,1
1826,1544,1715,587,1540,476,412,1609,828,955,318,1549,665,1478,697,766,1307,1299,1143,1354,1007,1229,1234,599,955,566,511,831,56,1
1947,1633,1789,733,1547,462,364,1654,821,833,781,1554,398,1094,601,923,1595,1675,853,1392,990,911,1233,727,1155,559,480,817,0,1
1909,1634,1857,816,1558,475,380,1640,640,1034,322,1510,587,1435,440,856,1276,1256,602,1390,1017,1117,1226,750,1133,778,463,794,1,1
1944,1624,1832,804,1543,478,360,1660,728,950,749,1514,276,1304,742,924,1450,1495,639,1388,1005,998,1238,740,1117,719,478,814,0,1
1978,1627,1765,907,1561,501,364,1656,687,997,547,1621,842,1245,361,930,1393,1493,719,1392,1007,1045,1235,654,1118,761,477,810,1,1
821,2067,785,1152,1281,381,102,2223,396,411,1071,1030,892,976,647,437,482,537,1091,1442,1088,781,1198,797,1304,607,537,835,0,0
1777,1497,1885,760,1557,463,365,1650,786,904,458,1553,837,1299,963,873,1378,1584,991,1449,1035,1069,1285,677,1107,637,465,813,41,1
1979,1617,1833,922,1543,483,361,1647,875,1033,457,1348,1010,1541,444,889,1326,1288,617,1386,999,994,1246,698,1056,642,474,808,0,1
1912,1598,1815,815,1558,474,363,1645,650,1077,370,1534,764,1445,697,796,1369,1232,1278,1401,1021,1138,1249,983,922,1713,466,820,1,1
1871,1610,1823,497,1547,500,344,1570,583,972,580,1521,634,1405,796,885,1438,1277,1413,1417,962,1154,1234,381,1073,772,474,819,2,1
1875,1594,1892,675,1535,506,379,1648,768,954,395,1543,750,1426,994,792,1331,1377,1159,1417,1021,1107,1251,546,1064,678,474,808,23,1
1817,1680,1815,608,1544,514,338,1447,1013,900,312,1567,538,1151,438,863,1504,1578,797,1358,1280,865,1254,472,1098,572,478,808,1,1
1786,1625,1889,814,1543,491,385,1573,825,1181,593,1537,674,1357,904,758,1337,1152,1029,1369,1030,1057,1245,926,1008,661,355,827,8,1
