V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
74578,65625,75602,27996,62094,18813,14900,66099,26865,37245,21087,62256,25928,53531,27393,35500,55140,50221,20835,55519,40108,39025,49485,32776,40680,22025,19138,32773,24,1
73587,66970,71020,28136,61570,17932,13592,66454,29318,24474,36331,39477,41663,42378,30568,24315,44038,48384,44530,56424,41138,42158,48645,27008,47938,30798,20293,33248,3,0
78020,67691,67173,39704,63509,18297,15366,65455,26832,31783,30809,47332,39147,38963,24430,40103,72776,71887,16805,55803,39588,37326,48666,12559,50249,36066,19052,32750,3,1
78017,63168,75401,25071,60773,19124,14044,66103,32216,39893,15231,64938,27096,55518,20060,27272,55033,57614,31953,55204,39466,38214,49571,37854,45505,22823,19227,32516,61,1
46894,77891,42089,44822,54303,15673,6177,81800,14336,13965,50497,33095,28569,29406,26595,13202,13402,19894,47738,57548,43415,34610,48600,31376,48712,24072,22068,33594,3,0
78035,64528,72919,26272,61808,19256,14461,66148,33257,36921,17072,60967,22206,54047,35560,34801,55438,55583,31932,55619,40164,40274,49293,20318,46268,24731,19160,32526,3,1
79038,63706,70705,23122,61804,18862,14597,65733,36326,35737,17951,67163,38441,51402,25301,33346,56222,52549,38932,55948,39896,38243,49659,34482,42942,25825,19034,32455,338,1
73037,61776,68582,23468,61588,19050,16496,64346,33107,38191,12737,61968,26620,59111,27892,30653,52287,51965,45736,54170,40274,49168,49349,23955,38187,22648,20451,33220,2245,1
77867,65301,71560,29333,61885,18466,14555,66148,32831,33323,31257,62157,15905,43764,24046,36932,63810,66982,34120,55692,39609,36435,49336,29094,46201,22379,19211,32681,3,1
76346,65354,74270,32649,62310,19002,15217,65586,25592,41353,12876,60409,23461,57416,17611,34244,51030,50233,24099,55583,40681,44673,49053,29987,45330,31119,18532,31744,24,1
77769,64970,73277,32166,61712,19130,14411,66419,29125,37993,29952,60546,11041,52151,29697,36972,57989,59819,25571,55536,40214,39920,49501,29615,44671,28773,19108,32569,0,1
79129,65070,70599,36278,62451,20055,14561,66239,27466,39889,21885,64839,33699,49816,14431,37191,55709,59717,28748,55675,40282,41815,49402,26141,44734,30442,19061,32416,29,1
32829,82681,31401,46090,51253,15243,4081,88901,15844,16458,42827,41199,35676,39044,25873,17479,19268,21472,43651,57678,43514,31235,47918,31899,52174,24276,21495,33391,3,0
71079,59861,75402,30387,62284,18539,14611,66011,31440,36146,18330,62102,33463,51978,38537,34917,55134,63359,39648,57946,41419,42744,51413,27082,44284,25462,18585,32517,1647,1
79156,64688,73303,36864,61719,19337,14423,65875,34990,41330,18266,53921,40394,61657,17761,35572,53060,51515,24694,55441,39950,39766,49851,27920,42229,25691,18975,32334,3,1
76488,63926,72611,32586,62303,18977,14512,65810,26008,43067,14794,61363,30546,57812,27893,31856,54769,49290,51108,56048,40848,45515,49964,39315,36873,68504,18647,32795,22,1
74826,64415,72931,19867,61896,20009,13763,62789,23303,38873,23202,60826,25350,56211,31835,35381,57505,51091,56513,56679,38488,46143,49347,15227,42927,30890,18959,32774,93,1
74980,63755,75672,27004,61407,20254,15142,65924,30708,38173,15818,61704,30018,57045,39777,31684,53246,55094,46346,56676,40853,44288,50031,21821,42555,27130,18952,32310,904,1
72668,67197,72599,24312,61775,20570,13511,57882,40525,36014,12479,62693,21526,46054,17510,34538,60154,63139,31899,54336,51186,34604,50175,18861,43935,22864,19101,32336,25,1
